nome,price,desc,ano,fotos,km
Novo Ka se 1.0 3 cilindros completo 44 mil km - 2017,35990,44.000 km | Câmbio: manual | Flex,2017,12,44000
Maverick para colecionador,40000,111.111 km | Câmbio: manual | Gasolina,0,14,111111
Renault Sandero - 2015,36000,40.000 km | Câmbio: semi-automático | Flex,2015,10,40000
Vw - Volkswagen Polo - 2004,15500,148.000 km | Câmbio: manual | Gasolina,2004,4,148000
Pampa 95 - 1995,12000,200 km | Câmbio: manual | Gasolina,1995,4,200
,0,,0,0,0
Gol City 2015 filé - 2015,20000,65.000 km | Câmbio: manual | Flex,2015,6,65000
Gol quadrado - 1994,7500,9 km | Gasolina,1994,7,9
Gm - Chevrolet Captiva - 2010,35990,67.500 km | Câmbio: automático | Gasolina,2010,8,67500
GN - Honda Civic 1.8 LXS 2008 Automático - 2008,0,107.000 km,2008,6,0
Ford Ecosport - 1.6 - Flex - Câmbio Manual - 2011,32500,75.000 km | Câmbio: manual | Flex,2011,10,75000
Gol Flex 1.0 2008 - 2008,10000,120.000 km | Câmbio: manual | Flex,2008,3,120000
Gm - Chevrolet Corsa Sedan Milenium - AG Veículos - 2001,13900,19 km | Câmbio: manual | Gasolina,2001,10,19
@Gm - Chevrolet Vectra - GT - 2009 - Completo - 2009,0,0 km,2009,5,0
Belíssima Ecosport 1.6 Completa - 2007,22890,130.000 km | Câmbio: manual | Flex,2007,14,130000
Ford fiesta 1.6 sedam rocam 8v flex 4p manual - 2011,21000,130.000 km | Câmbio: manual | Flex,2011,6,130000
,0,,0,0,0
Crossfox AT. 2016 1.6 Impecável - 2016,53900,1 km | Câmbio: automático | Flex,2016,12,1
H- Peugeot 307 Hatch Teto solar - 2010,10000,157.000 km | Câmbio: manual | Flex,2010,15,157000
HYUNDAI  ELANTRA 2.0 16V FLEX 4P 2016 - 2017,73800,25.000 km | Câmbio: automático | Flex,2017,11,25000
FORD KA 2018/2018 1.5 SIGMA FLEX SE MANUAL - 2018,40900,37.541 km | Câmbio: manual | Flex,2018,4,37541
/Ford Ecosport Freestyle 1.6 - Completo - Baixa KM - 2012 - 2012,0,0 km,2012,7,0
Peugeot 207 1.4 active 8v flex 4p manual - 2014,26890,72.000 km | Câmbio: manual | Flex,2014,11,72000
Vw - Volkswagen Fox - 2009,18000,88.000 km | Câmbio: manual | Flex,2009,4,88000
Gol G2 - 1998,10000,2.500.000 km | Câmbio: manual | Gasolina,1998,0,2500000
Toyota Corolla GLi Manual 2012 - 2012,40000,177 km | Câmbio: manual | Flex,2012,6,177
Gm - Chevrolet Celta - 2012,17900,0 km | Câmbio: manual | Flex,2012,7,0
Clio Hatch expression 1.0 Flex completo 2016 - 2016,24900,29.796 km | Câmbio: manual | Flex,2016,5,29796
Fiesta 1.6 Impecável baixo km - 2012,25000,79.000 km | Câmbio: manual | Flex,2012,6,79000
CHEVROLET COBALT 2017/2018 1.8 MPFI LTZ 8V FLEX 4P AUTOMÁTICO - 2018,56900,32.600 km | Câmbio: automático | Flex,2018,7,32600
CHEVROLET COBALT 2012/2013 1.4 SFI LT 8V FLEX 4P MANUAL - 2013,28900,113.253 km | Câmbio: manual | Flex,2013,4,113253
G\ Pajero Mitsubishi TR4 2008 - 2008,0,0 km,2008,6,0
Quero moto tenho um escort europeu 94/95 1.6 branco a gasolina - 1994,0,500.000 km | Câmbio: manual | Gasolina,1994,0,500000
Volkswagen Fox 1.6 mi rock in rio 8v flex 4p manual - 2014,33890,112.000 km | Câmbio: manual | Flex,2014,16,112000
Fox 2014 3 mil abaixo da tabela - 2014,28500,80.000 km | Câmbio: manual | Flex,2014,5,80000
Mercedes c200 k impecável aceito trocas - 2010,51900,186.253 km | Câmbio: automático | Gasolina,2010,6,186253
Fiat Argo - 2018,41900,35 km | Câmbio: manual | Flex,2018,12,35
,0,,0,0,0
"Oferta! Honda Civic 1.8 LXS ""Transferência Grátis"" Revisado a Pronta entrega - 2009",35900,0 km | Câmbio: manual | Flex,2009,9,0
GM Chevrolet Spin Activ AUT 2017/2018 - 2018,63500,10.020 km | Câmbio: automático | Flex,2018,13,10020
@Vw - Volkswagen Fox - 1.6 PLUS - Completo - 2007,0,0 km,2007,5,0
Renault Sandero Stepway  1.6 8V (flex) FLEX MANUAL - 2014,34900,0 km | Câmbio: manual | Flex,2014,3,0
Kia Motors Sorento - 2015,0,1 km | Câmbio: automático | Gasolina,2015,6,1
Fiesta 1.0 hatch 2009 - 2009,19990,111.402 km | Câmbio: manual | Flex,2009,14,111402
Vendo Cruze LT 1.8 13/13 completo - 2013,20000,115.000 km | Câmbio: automático | Flex,2013,6,115000
Honda CRV 2009 - 2009,33000,300.000 km | Câmbio: automático | Gasolina,2009,11,300000
Clio 1.0 authentique - 2008,15900,144.000 km | Câmbio: manual | Flex,2008,10,144000
Gm - Chevrolet Sonic - 2012,26900,79.000 km | Câmbio: manual | Flex,2012,5,79000
CHEVROLET CRUZE 1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO - 2017,75990,19.811 km | Câmbio: automático | Flex,2017,8,19811
RENAULT DUSTER 1.6 16V SCE FLEX EXPRESSION X-TRONIC - 2019,64890,34.128 km | Câmbio: automático | Flex,2019,6,34128
,0,,0,0,0
CHEVROLET ONIX 1.4 MPFI ACTIV 8V FLEX 4P MANUAL - 2017,50290,43.708 km | Câmbio: manual | Flex,2017,7,43708
GM Zafira 2.0 2012 Automatico 7 lugares - 2012,33890,124.000 km | Câmbio: automático | Flex,2012,17,124000
CITROËN C4 2013/2014 1.6 TENDANCE 16V FLEX 4P MANUAL - 2014,34900,59.000 km | Câmbio: manual | Flex,2014,6,59000
RENAULT DUSTER 2012/2013 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL - 2013,39900,84.000 km | Câmbio: manual | Flex,2013,15,84000
FORD KA 1.0 SE 12V FLEX 4P MANUAL. - 2017,36900,54.000 km | Câmbio: manual | Flex,2017,6,54000
Fit lx 1.4 dourado 2004 - 0625 - 2004,19500,156.000 km | Câmbio: manual | Gasolina,2004,12,156000
Freemont Emoction 2.4 Automático Gasolina - 2012,46500,57.500 km | Câmbio: automático | Gasolina,2012,12,57500
Fusca 1962,9000,11.000 km | Câmbio: manual | Gasolina,0,6,11000
,0,,0,0,0
RENAULT MEGANE SEDAN DYNAMIQUE 2.0 Automático 2010 - 2010,27900,120.000 km | Câmbio: automático | Gasolina,2010,10,120000
Fiat Siena - 2007,0,156.000 km | Câmbio: manual | Flex,2007,6,156000
Vectra Elite 2007 - BLINDADO - 2007,20000,169.000 km | Câmbio: automático | Flex,2007,5,169000
Peugeot 207 1.4 completo aceito troca - 2014,25900,0 km | Câmbio: manual | Flex,2014,6,0
Ford Ecosport - 2008,0,0 km | Câmbio: manual | Flex,2008,2,0
(OP) Voyage 2015 - Completo - 45km - Único dono - 2015,0,45.000 km | Flex,2015,4,45000
Citroen C3 Mayumi Honda  - 2010,18900,123 km | Câmbio: manual | Álcool,2010,3,123
VOLKSWAGEN POLO 2019/2019 1.0 200 TSI HIGHLINE AUTOMÁTICO - 2019,80990,Câmbio: automático | Flex,2019,13,0
A*M Citroen C4 GLX 2.0 Flex 16V 5P AUT - 2010,0,100 km | Flex,2010,3,100
Jimny Wide/ Jimny/4ALL 1.3 16V - 2016,49800,105.982 km | Câmbio: manual | Gasolina,2016,6,105982
,0,,0,0,0
"Renault Duster 2015 1.6, manual! Raridade!!! - 2015",0,81.000 km | Câmbio: manual | Flex,2015,10,81000
Vw - Volkswagen Gol 1.6 ano 96 bola - 1996,7000,205.467 km | Câmbio: manual | Gasolina,1996,13,205467
Gol bola - 2002,8500,0 km | Câmbio: manual | Gasolina,2002,4,0
Lincon contato 991391632 - 2010,20900,88.888.888 km | Câmbio: manual | Flex,2010,4,88888888
Vw - Volkswagen Gol - 1998,13000,153.000 km | Câmbio: manual | Gasolina,1998,5,153000
GN - Ford Ka 1.0 2015 - 2015,0,69.000 km,2015,6,0
Toyota Land Cruiser Prado (7 lugares) - 2007,74900,1 km | Câmbio: automático | Diesel,2007,13,1
MITSUBISHI PAJERO SPORT HPE 4X4 2.5 TB-IC Automatica 2007 - 2007,43900,100 km | Câmbio: manual | Diesel,2007,10,100
Corsa Sedan Millenium - 2002,9000,188.000 km | Câmbio: manual | Gasolina,2002,6,188000
NISSAN FRONTIER LE CD 4X4-MT 2.5 TB-IC 4P 2018 - 2018,139900,11.919 km | Câmbio: automático | Diesel,2018,8,11919
Peugeot 308 active Parcelas de 799 reais - 7305 - 2014,37900,1 km | Câmbio: manual | Flex,2014,6,1
Celta 1.0 LT impecável - 2014,23900,88.000 km | Câmbio: manual | Flex,2014,7,88000
HYUNDAI HB20X 2016/2016 1.6 16V PREMIUM FLEX 4P AUTOMATICO - 2016,48900,60.302 km | Câmbio: automático | Flex,2016,12,60302
"Vw Voyage 1.6 Mi Flex "" Único Dono "" Todo Original - 2013 - 2013",0,0 km | Câmbio: manual | Flex,2013,5,0
"Vendo Gol g5 "" 3 mil abaixo da tabela"" - 2013",20000,101.132 km | Câmbio: manual | Flex,2013,7,101132
Vendo ou troco palio 97 - 1997,4500,11.111.111 km | Câmbio: manual | Gasolina,1997,7,11111111
Picasso 2.0 Aut. Completa - 2009,18500,150.000 km | Câmbio: automático | Gasolina,2009,5,150000
Vende -se - 2012,18000,103.192 km | Câmbio: manual | Flex,2012,4,103192
Mitsubishi ASX 2.0 baixo km - 2014,68900,0 km | Câmbio: automático | Gasolina,2014,6,0
Toyota Corolla XLI 2005 1.8 completo - 2005,21000,131.000 km | Câmbio: manual | Gasolina,2005,6,131000
,0,,0,0,0
Ônix lt 1.4 com maylink - 2013,33900,113 km | Câmbio: manual | Flex,2013,6,113
Fox semi novo - 2013,25000,74.000 km | Câmbio: manual | Flex,2013,5,74000
Corsa sedan maxx 1.4 flex 2009 - 2009,19900,115.000 km | Câmbio: manual | Flex,2009,6,115000
Paio fire 2006 - 2006,13200,146.000 km | Câmbio: manual | Flex,2006,8,146000
Gm - Chevrolet Montana - 2009,20482,94.000 km | Câmbio: manual | Flex,2009,6,94000
Peugeot 308 em excelente estado - Ocasião abaixo da tabela!!! - 2016,54000,51.500 km | Câmbio: automático | Flex,2016,4,51500
Vectra gls - 2000,15000,185.000 km | Câmbio: manual | Gasolina,2000,9,185000
"Fox Trend 1.6 GII Completo, Único Dono! Super Conservado, Aceito Trocas! - 2012",28900,145.000 km | Câmbio: manual | Flex,2012,9,145000
Honda Fit LX Carro impecável - Banco de Couro - Automático - 2013,37900,104.948 km | Câmbio: automático | Flex,2013,9,104948
Toyota Hilux - 2017,147000,40.800 km | Câmbio: automático | Diesel,2017,4,40800
Hyundai I30 2011 C/Teto C/Banco em Couro Impecável - 2011,36900,100.000 km | Câmbio: automático | Flex,2011,7,100000
Renault Logan Dynamique 1.6 8V 2015 - 2015,37900,45.400 km | Câmbio: manual | Flex,2015,6,45400
,0,,0,0,0
VW Voyage 1.0 2010 Completo - 2010,23900,163.000 km | Câmbio: manual | Flex,2010,10,163000
RENAULT FLUENCE 2.0 DYNAMIQUE PLUS 16V FLEX 4P AUTOMÁTICO - 2017,56890,21.790 km | Câmbio: automático | Flex,2017,6,21790
Fiesta 1.0 2004 completo abx tabela - 2004,12990,170.000 km | Câmbio: manual | Gasolina,2004,5,170000
Ford Focus hatch 2.0 GLX 2009 Automatico - 2009,28900,129.840 km | Câmbio: automático | Flex,2009,20,129840
Fiat Uno vivace basico abx tabela(leia o anúncio) - 2012,12900,90.000 km | Câmbio: manual | Flex,2012,10,90000
Chevrolet Cobalt 1.8 Mpfi Ltz 8v - 2016,45890,61.000 km | Câmbio: automático | Flex,2016,8,61000
CHEVROLET PRISMA 2014/2014 MANUAL 1.0 MPFI LT 8V FLEX 4P - 2014,36500,60.544 km | Câmbio: manual | Flex,2014,8,60544
Gm - Chevrolet Prisma - 2013,35900,1 km | Câmbio: manual | Flex,2013,6,1
,0,,0,0,0
Citroen C3 - 2015,39990,99.300 km | Câmbio: automático | Flex,2015,19,99300
"Santana 3 mil + 10 x 650,00 - 1997",3000,132.000 km | Câmbio: manual | Gasolina,1997,6,132000
Vw - Volkswagen Fox - 2009,18990,82.000 km | Câmbio: manual | Flex,2009,7,82000
FIAT PALIO 2009/2010 1.8 MPI ADVENTURE LOCKER WEEKEND 8V FLEX 4P AUTOMATIZADO - 2010,29900,170.435 km | Câmbio: automático | Flex,2010,13,170435
VOLKSWAGEN FOX 1.0 2008 - 2008,18900,106.000 km | Câmbio: manual | Flex,2008,8,106000
Vende - se - 2010,18000,77.000 km | Câmbio: manual | Flex,2010,6,77000
Citroën c4 2.0 Exclusive 16v - 2010,27900,133.000 km | Câmbio: automático | Flex,2010,10,133000
Ford fiesta 1.0 2010 4p flex só r$699 mensais mensais sem entrada - 2010,19900,0 km | Câmbio: manual | Flex,2010,3,0
RENAULT DUSTER 2017/2018 2.0 16V HI-FLEX DYNAMIQUE AUTOMÁTICO - 2018,64900,36.216 km | Câmbio: automático | Flex,2018,6,36216
Voyage 2010 1.6 completo - 2010,25900,198.000 km | Câmbio: manual | Flex,2010,5,198000
,0,,0,0,0
Honda Fit - 2013,40900,71.716 km | Câmbio: automático | Flex,2013,9,71716
Gm - Chevrolet Cobalt LT 1.8 - 2015,36800,100.000 km | Câmbio: manual | Flex,2015,3,100000
"Virtus Highline 200 TSi Turbo Flex Aut. 2019, Único Dono * Impecável * - 2019",86900,514 km | Câmbio: automático | Flex,2019,15,514
Renault Scenic Scénic Authentique 1.6 16V (flex) - 2007,17590,176.000 km | Câmbio: manual | Flex,2007,9,176000
Toyota Hilux CD SR-V D4-D 4x4 3.0 TDI Diesel Autom. 2013 - 2013,99000,160.000 km | Câmbio: automático | Diesel,2013,13,160000
Mercedes B200 - 2012 - 2012,49900,73.500 km | Câmbio: automático | Gasolina,2012,1,73500
Focus 2009 Flex ABX. Tabela! - 2009,19900,167.000 km | Câmbio: manual | Flex,2009,7,167000
Focus sed 1.6 flex 16v completo 2014 - 2014,47900,86.000 km | Câmbio: manual | Flex,2014,9,86000
Honda Fit 1.4 Flex 2014 Automático - Abaixo da Tabela + Entrada Zero + 60x 1399 - 2014,40990,0 km | Câmbio: automático | Flex,2014,3,0
Fiat Toro Volcano 4x4 Diesel Aut - 2017,97900,123.000 km | Câmbio: automático | Diesel,2017,13,123000
© Fiat 500 Cult 1.4 8v (Flex)(Auto) Baixo Km Lucas (12) 98292.2828 - 2013,0,33 km | Câmbio: semi-automático | Flex,2013,10,33
TOYOTA PRIUS 2017/2017 1.8 16V HÍBRIDO 4P AUTOMÁTICO - 2017,99900,20.445 km | Câmbio: automático | Gasolina,2017,12,20445
Th® C4 hatch completo - 2012,0,102 km | Câmbio: automático | Flex,2012,3,102
Hyundai Hb20s 1.6 Comfort Impecavel - RN - 2017,48900,1 km | Câmbio: manual | Flex,2017,6,1
VOLKSWAGEN SPACEFOX 2011/2011 1.6 MI SPORTLINE 8V FLEX 4P MANUAL - 2011,28490,120.000 km | Câmbio: manual | Flex,2011,9,120000
HR-V LX 1.8 FLEXONE 16V 5P MEC. - 2019,91990,0 km | Câmbio: manual | Flex,2019,18,0
Fiesta SE 1.5 FLEX - COMPLETO - 2014,31900,90.000 km | Câmbio: manual | Flex,2014,8,90000
Fiat Argo 2018 Drive 1.0 Completo + Multímidia - 2018,41890,40.009 km | Câmbio: manual | Flex,2018,12,40009
"Honda/ Fit Lx 1.5 FLEXONE ""47.000 km"" - 2016",54900,47.000 km | Câmbio: automático | Flex,2016,20,47000
"Onix LTZ 15, 1.4 bx. km, abx tabela - 2015",38500,44.200 km | Câmbio: manual | Flex,2015,6,44200
,0,,0,0,0
"Fluence Dynamique Automatico 2012 , completo , aceitamos trocas de menor valor !! - 2012",35900,146 km | Câmbio: automático | Flex,2012,8,146
PEUGEOT 206 2006/2007 1.6 ESCAPADE SW 16V FLEX 4P MANUAL - 2007,20990,206.000 km | Câmbio: manual | Flex,2007,4,206000
Mercedes-benz C-180 2012 Abx tab - 2012,60500,90.000 km | Câmbio: automático | Gasolina,2012,7,90000
Mini Cooper One - fox celta onix prisma mobi up - 2013,47990,91.700 km | Câmbio: automático | Gasolina,2013,13,91700
Astra 2000/2001 - 2000,4500,0 km,2000,7,0
Celta LS2 portas 2011 - 2011,7000,0 km | Câmbio: manual | Flex,2011,3,0
Sandero Stepway - 2014,33000,98.000 km | Câmbio: automático | Flex,2014,4,98000
Fiat Bravo T-Jet *impecável - 2013,40000,82.000 km | Câmbio: manual | Gasolina,2013,9,82000
Vendo Monza ano 93 2.0 - 1993,5000,0 km | Câmbio: manual | Álcool,1993,6,0
Fiesta 2006 Hatch 1.0 Completo - 2006,14499,189.008 km | Câmbio: manual | Gasolina,2006,12,189008
© Chevrolet Spin LT 1.8 8v (Flex)(Auto) Impecável Aceito Troca Financia - 2014,0,0 km | Câmbio: automático | Flex,2014,9,0
Kia Optima EX 2.4 16v. 180cv Automático - 2013,59900,68.700 km | Câmbio: automático | Gasolina,2013,16,68700
,0,,0,0,0
Ford EcoSport Ecosport XLS Freestyle 1.6 (Flex) FLEX MANUAL - 2007,23900,131.000 km | Câmbio: manual | Flex,2007,5,131000
TH - Nissan Sentra S Automático 2008 - Abaixo da Tabela - Impecável - 2008,28900,100.000 km | Câmbio: automático | Gasolina,2008,6,100000
** 207 - Completo - 2013 - 2013,0,0 km,2013,5,0
BMW 320i - 2013,74000,77.000 km | Câmbio: automático | Gasolina,2013,10,77000
FORD KA 2018/2018 1.0 TI-VCT SE 12V FLEX 4P MANUAL - 2018,37500,41.830 km | Câmbio: manual | Flex,2018,10,41830
"BC - Mitsubishi Outlander Aut - 2014 ""Impecável"" ""C/ Teto"" - 2014",0,1 km | Câmbio: automático | Flex,2014,7,1
VOLKSWAGEN VOYAGE 2016/2017 1.6 MSI TOTALFLEX COMFORTLINE 4P MANUAL - 2017,46867,51.714 km | Câmbio: manual | Flex,2017,0,51714
Montana sport 1.4 2013 - 2013,31890,97.000 km | Câmbio: manual | Flex,2013,5,97000
,0,,0,0,0
TOYOTA ETIOS 1.3 X 16V FLEX 4P MANUAL. - 2014,31900,109.000 km | Câmbio: manual | Flex,2014,4,109000
Vendo ou troco por moto - 1994,3600,0 km | Câmbio: manual | Gasolina,1994,17,0
Lindo sandero eport RS 2.0 - 2017,51900,41.000 km | Câmbio: manual | Flex,2017,7,41000
"Etios Hatch Cross 2014 1.5 Flex, Abx.Tabela Aceito Troca 2º Dono Completo *Impecavel - 2014",35950,0 km | Câmbio: manual | Flex,2014,15,0
Vw - Volkswagen Voyage 2016 Luiz Rubio(12)98877-8880 - 2016,0,0 km | Câmbio: manual | Flex,2016,3,0
Mayumi Honda (12)99764-7064 Fiat Siena - 2013,29900,51.989 km | Câmbio: manual | Flex,2013,4,51989
RENAULT DUSTER 2014/2015 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO - 2015,48990,84.000 km | Câmbio: manual | Flex,2015,8,84000
F*R Prisma LTZ 1.4 2016 49.000KM - 2016,0,49.000 km | Câmbio: automático | Flex,2016,5,49000
FE Ecosport 2007 com 70mil km impecável - 2007,0,70.500 km | Câmbio: manual | Flex,2007,6,70500
Fiat Doblo - 2004,22990,78.000 km | Câmbio: manual | Flex,2004,10,78000
,0,,0,0,0
B 180 1.7 Confort 4P AUT. Baixo KM 2011 - 2011,42900,84.000 km | Câmbio: automático | Gasolina,2011,8,84000
F 250 xlt 2002 turbo diesel - 2002,62900,260.000 km | Câmbio: manual | Diesel,2002,6,260000
Mitsubishi Asx 2.0 4x4 top de linha botao start/stop - 2012,51900,89.000 km | Câmbio: automático | Gasolina,2012,20,89000
Vw - Volkswagen Fox 2015 Branco 1.0 Flex - 3520 - 2015,0,86.000 km | Câmbio: manual | Flex,2015,9,86000
CHEVROLET  VECTRA 2.0 MPFI GT HATCH 8V 2010 - 2010,28900,54.000 km | Câmbio: manual | Flex,2010,6,54000
Gm - Chevrolet Astra muito conservado 2010 - 2010,23700,116.000 km | Câmbio: manual | Flex,2010,7,116000
Imperdivel!!!honda fit 2015 /aut - 2015,0,89.000 km | Câmbio: automático | Flex,2015,2,89000
Vw - Volkswagen Gol completo+baixo km - 2018,40890,41.000 km | Câmbio: manual | Flex,2018,8,41000
Gm - Chevrolet Cruze /Shopping JK (capital veiculos ) - 2014,49900,90.000 km | Câmbio: manual | Gás Natural,2014,5,90000
ARS/ C4 exclusive 2009 lindo - 2009,26900,129.000 km | Câmbio: automático | Flex,2009,4,129000
Civic 2018 1.600 km - 2018,102000,1.600 km | Câmbio: automático | Flex,2018,5,1600
Nissan March S/ Baixo KM - 2018,36890,16.000 km | Câmbio: manual | Flex,2018,8,16000
C3 2009 1.4 glx - 2009,19500,102.000 km | Câmbio: manual | Flex,2009,10,102000
RENAULT CLIO 2010/2011 1.0 CAMPUS 16V FLEX 4P MANUAL - 2011,16990,54.000 km | Câmbio: manual | Flex,2011,4,54000
Corsa - 2008,16800,150.000 km | Câmbio: manual | Flex,2008,0,150000
Palio weekend - 2010,24000,132.663 km | Câmbio: manual | Flex,2010,6,132663
TH - Suzuki Grand Vitara 4WD ''Abaixo da Tabela'' - Impecável - 2013,47900,0 km | Câmbio: automático | Gasolina,2013,7,0
Gm - Chevrolet Chevette - 1989,3600,19.999.999 km | Câmbio: manual | Álcool,1989,3,19999999
Meriva maxx 1.4 único dono - 2009,20900,143.000 km | Câmbio: manual | Flex,2009,11,143000
Carro gol 97 - 1997,5000,0 km | Câmbio: manual | Gasolina,1997,6,0
,0,,0,0,0
Vendo Palio weekend 1.5 8v - 1998,7000,0 km | Gasolina,1998,5,0
Ford Ecosport - 2012,34900,65.000 km | Câmbio: manual | Flex,2012,7,65000
Ford Fusion Titanium 2.0 a gasolina ano 2014 por 69.900.00  - 2014,69900,49.000 km | Câmbio: automático | Gasolina,2014,7,49000
FIAT IDEA 2011/2012 1.4 MPI ATTRACTIVE 8V FLEX 4P MANUAL - 2012,31900,107.000 km | Câmbio: manual | Flex,2012,12,107000
Corola GLI 1.8 Aut - 2015,59000,67.000 km | Câmbio: automático | Flex,2015,6,67000
Polo hatch 1.6 8v - 2004,16000,185.000 km | Câmbio: manual | Gasolina,2004,5,185000
Vectra 2.0 GT top de linha - 2011,32000,134.500 km | Câmbio: manual | Flex,2011,12,134500
"Cruze HB Sport Turbo LTZ-2 1.4 Ano 2018 Flex, Aut. Bx Km Abx.Tab. Único Dono *Impecável - 2018",92900,13.593 km | Câmbio: automático | Flex,2018,14,13593
Citroen C3 2017 - teto panorâmico ar digital central multimídia - 2017,40900,76.500 km | Câmbio: manual | Flex,2017,6,76500
KG/Peugeot 307 c/ Teto Solar - 2009,0,0 km | Câmbio: manual | Flex,2009,6,0
Corolla xei 2.0 flex - 2017,78900,44.424 km | Câmbio: automático | Flex,2017,6,44424
Carro - 2012,17500,98.000 km | Câmbio: manual | Gasolina,2012,3,98000
,0,,0,0,0
Amarok 2011 CD 4X4 turbo Diesel Off Road - 2011,68000,189.000 km | Câmbio: manual | Diesel,2011,6,189000
Venda - 2014,35000,48.000 km | Câmbio: manual | Flex,2014,0,48000
Fiat Tipo - 1995,1200,135.000 km | Câmbio: manual | Gasolina,1995,4,135000
Ff troller t4 xlt 2016 (impecável) - 2016,0,63.000 km | Câmbio: manual | Diesel,2016,17,63000
HYUNDAI TUCSON 2015/2016 2.0 MPFI GLS TOP 16V 143CV 2WD FLEX 4P AUTOMATICO - 2016,54785,39.266 km | Câmbio: automático | Flex,2016,15,39266
Gm - Chevrolet Prisma - 2011,20000,113.000 km | Câmbio: manual | Flex,2011,8,113000
Vendo kombi furgão R$ 18.500 - 2008,18500,132.000 km | Câmbio: manual | Flex,2008,6,132000
Vendo Toro - 2018,76000,47.000 km | Câmbio: automático | Flex,2018,5,47000
,0,,0,0,0
Hyundai HB20S Comfort. 1.0 - 2016,0,112.000 km,2016,8,0
Toyota Etios / Shopping JK (capital veículos ) - 2014,36900,99.000 km | Câmbio: manual | Flex,2014,4,99000
"Fox iTrend Flex 1.6 Ano 2014, Bx Km Completo Único Dono * Lindão * - 2014",32900,65.242 km | Câmbio: manual | Flex,2014,13,65242
CITROËN C3 2008/2008 1.6 EXCLUSIVE 16V FLEX 4P MANUAL - 2008,17990,165 km | Câmbio: manual | Flex,2008,4,165
© Chevrolet Vectra GT 2.0 (Flex)(Mec) Lucas (12) 98292.2828 - 2009,26900,1 km | Câmbio: manual | Gasolina,2009,8,1
Ford f250 - 2010,90000,193 km | Câmbio: manual | Diesel,2010,19,193
; Chevrolet Onix - Direção Eletrica - 6 Marchas - 2018,0,0 km | Câmbio: manual | Flex,2018,8,0
Hyundai Hb20X 1.6 Premium Automatico 2016 - Unico Dono - 2016,51900,78.000 km | Câmbio: automático | Flex,2016,7,78000
Th® fiat 500 cult completo conservado - 2012,0,146 km | Câmbio: manual | Flex,2012,6,146
RENAULT SANDERO 2011/2012 1.6 STEPWAY 16V FLEX 4P MANUAL - 2012,30900,84.291 km | Câmbio: manual | Flex,2012,8,84291
,0,,0,0,0
Jac J3 Turin 2012 Completo Vendo/Troco/Financio - 2012,21900,1 km | Câmbio: manual | Flex,2012,12,1
Strada working 1.4 flex 2013 - 2013,27900,0 km | Câmbio: manual | Flex,2013,4,0
"Fiat Uno Vivace 1.0 8V (Flex) - Parcelas à partir de R$ 399,00 - 2012",0,153.000 km | Câmbio: manual | Flex,2012,2,153000
Fiat Idea Essence - 2011,25000,101.000 km | Câmbio: manual | Flex,2011,5,101000
Toyota Etios 1.3 x Standard 16v - 2019,42990,21.000 km | Câmbio: manual | Flex,2019,8,21000
Corolla 2.0 Altis com Baixo km 2011 - 2011,52900,33.000 km | Câmbio: automático | Gasolina,2011,20,33000
FIESTA 1.6 Automático - 2016- abaixo da tabela - 2016,42000,56.000 km | Câmbio: automático | Flex,2016,3,56000
Astra sedan 2005 Flex Impecável !!! - 2005,18900,164.000 km | Câmbio: manual | Flex,2005,6,164000
Hb20 1.6 - super novo - 2014,38900,79.000 km | Câmbio: manual | Flex,2014,9,79000
"Fiat Palio essence 1.6, cor prata, completo, automático, flex - 2014",29500,0 km | Câmbio: semi-automático | Flex,2014,10,0
Honda Civic LXS 1.8 impecável AUT - 2013,49900,85.000 km | Câmbio: automático | Flex,2013,12,85000
"VW/ Voyage Comfortline 1.6 msi ""19.000 km"" único dono - 2017",45900,19.000 km | Câmbio: manual | Flex,2017,20,19000
Toyota Corolla GLI 1.8 Automático - AG Veículos - 2011,42900,1 km | Câmbio: automático | Flex,2011,8,1
H- Hyundai Hb20 1.6 2016 Nave! - 2016,44900,74.000 km | Câmbio: manual | Flex,2016,13,74000
Peugeot 207 - 2010,20900,119.000 km | Câmbio: manual | Flex,2010,7,119000
"Honda Hr-v , Raridade em perfeito estado , falar com Washington. - 2016",0,86.000 km | Câmbio: automático | Flex,2016,9,86000
Ford F-250 XLT 3.9 4x2 Turbo Diesel (Raridade - Baixa KM) Confira Fotos - 2008,95000,119.000 km | Câmbio: manual | Diesel,2008,17,119000
Zafira CD 2001 7 Lugares!! - 2001,14900,204.000 km,2001,5,0
Toyota Etios Cross 2014 - 2014,36900,79.000 kmmanualFlex,2014,6,0
Toro Freedom 2019 Completo - 2019,85990,33.000 kmautomáticoFlex,2019,6,0
,0,,0,0,0
Vw - Volkswagen Fox - 2011,24900,151.000 kmmanualFlex,2011,9,0
Prisma 1.4 Joy Parcelas de 429 reais - 2411 - 2008,19900,100 kmmanualFlex,2008,10,0
CROSSFOX 1.6 Mi Total Flex 8V 5p - 2009,28500,126.527 kmmanualFlex,2009,0,0
Gm - Cobalt LTZ/Lindo - 2015,42500,0 kmautomáticoFlex,2015,13,0
Renault Fluence - 2012,32900,69.000 kmmanualFlex,2012,7,0
